Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
grpc-java,master,55ae1d0541c3482cf9fa2cadb156b1da6852deb4,v1.76.x,bb07f79d46cea304c3699fa5e6bb48a9dcc00f7e,2025-12-04 18:17:57+00:00,TYPE-IV
grpc-java,master,7cb8b68c3aa8dea787bf0ac71e11aadf0f4eed85,v1.77.x,155308db2db2abcf612cc13c8360d5277753008f,2025-11-14 23:20:34+00:00,TYPE-I
grpc-java,master,1ef5ee25905b540a64424d36ea735ac431e117fa,v1.76.x,bab8c7a71d64495602759664dc4b59e03baee878,2025-11-13 15:38:58+00:00,TYPE-I
grpc-java,master,3fc026c29bd09c6ca87b72fd69eff843b88456a3,v1.77.x,53cd1a225628530defa407590223efdab0fca060,2025-11-13 14:43:35+00:00,TYPE-I
grpc-java,master,8fa2c2c3c1454d411b1b029f8e83debf02c9bf11,v1.77.x,6fc3fd046213dbd145216d8159487bf164e7726d,2025-11-13 14:41:52+00:00,TYPE-I
grpc-java,master,d89628c3c5035d4b8e4221c702492a31fe9303c1,v1.77.x,498f717fcb41085c2ba0228a0e6c2d3d3c727877,2025-11-13 14:41:14+00:00,TYPE-V
grpc-java,master,437e03dc98d98f6a2875daf8ac40b00de9002612,v1.75.x,653d076c605a9066cf6ae484921058580df2437d,2025-08-19 14:15:47+00:00,TYPE-I
grpc-java,master,6462ef9a11980e168c21d90bbc7245c728fd1a7a,v1.75.x,a5c2b1aa51608b1fff016a313d8ee65f92e8d23d,2025-08-19 06:31:54+00:00,TYPE-I
grpc-java,master,2e96fbf1e851242f8028af2cbc16dbc96e1037ff,v1.74.x,15c7573988fab5c9893c1d86f0d23f1cd4b683f8,2025-07-18 16:05:36+00:00,TYPE-I
grpc-java,master,1fc4ab0bb203a7934753d4d29d8d4689a1012390,v1.74.x,1df2a330568b2131fd2fda77cf85c948dba19ae0,2025-07-18 16:05:09+00:00,TYPE-II
grpc-java,master,a8de9f07ab831686da026ec067370a6e0c5489f1,v1.74.x,a5eaa66ccc2add0c9b78096ca3196ec1c7904c1f,2025-07-18 16:05:01+00:00,TYPE-I
grpc-java,master,2b87b01651fa5d99ab1b1d9cbc4f87af5a1f5d6a,v1.71.x,2fd84478a6e45bfb07215dac1f1a49733d24b2e8,2025-05-23 10:54:39+00:00,TYPE-I
grpc-java,master,7a08fdb7f94a43951da6245e100c3535d0ce7879,v1.72.x,8bf12c67de8a0dd22aa5642f33b294934ca23bdd,2025-05-23 09:18:17+00:00,TYPE-I
grpc-java,master,25199e9df9b7f3f0db664883abb103a6abbfe120,v1.72.x,390bc330bc1ce48b801ed9ba005f6cc04f6e5e80,2025-04-24 04:27:15+00:00,TYPE-I
grpc-java,master,54d37839a39defddf59665962e05d863a490cfc9,v1.72.x,a6e1c1f09c6c7ff8e54405d6782bb1ff553ffb29,2025-04-08 10:30:58+00:00,TYPE-I
grpc-java,master,a13fca2bf2cddd58d917865bc0bb24036c5eb873,v1.72.x,868178651f6ae0dcef5bc0048c1e94ed1a8c13cc,2025-04-07 15:06:04+00:00,TYPE-II
grpc-java,master,7162d2d6615eb36814e151bf8e926b68409dbed9,v1.70.x,7dada7d5a9d6efd9eafc25ef992689cbe94a4377,2025-01-13 21:30:21+00:00,TYPE-I
grpc-java,master,e8ff6da2cf57a39a62497e9f317e6976b5bfb98c,v1.68.x,32877ea94f9c9b04b6fecc60c8ea850ce971a1fc,2024-12-17 04:54:00+00:00,TYPE-II
grpc-java,master,448ec4f37e6ade0b9e547fd50bece6a22a317bf3,v1.66.x,19c9b998b1efd8bee3fb40335e1a5f7360859cfb,2024-08-02 19:31:46+00:00,TYPE-I
grpc-java,master,ebffb0a6b2b628f584ce97f943b2739642f58270,v1.66.x,ef09d94fe8d51aca13f3490f599ebbfabf3299ab,2024-08-01 08:08:30+00:00,TYPE-I
grpc-java,master,506192872edf88703325d03ab95e2081b81e4381,v1.63.x,d0e456046245c7f47864b09571decbb870dcbc1c,2024-07-10 22:03:12+00:00,TYPE-I
grpc-java,master,0fea7dd32e259f2d4abc2404115ad386d89e325d,v1.64.x,f261200f7b83a9ec146eb3787971291fa2c01fb6,2024-06-21 23:31:46+00:00,TYPE-I
grpc-java,master,f9b6e5f92d20d7c68e59d392f8b42317502bb296,v1.64.x,3158f91e7538424df0c1c2961fed507e4bf864f6,2024-05-14 13:34:13+00:00,TYPE-I
grpc-java,master,d366d74fa6c163b16f3fcb295fcababa9b18b4c6,v1.64.x,1e731be49a8e9e7438bd7d2341966a67e7fb2eeb,2024-05-09 17:48:59+00:00,TYPE-I
grpc-java,master,6bede04d9f2b28dd381dffaf51b958e773d87c1d,v1.64.x,a639175c0468877d198d7face0a2916b33cf5fa5,2024-05-09 16:01:17+00:00,TYPE-I
grpc-java,master,354b028caec51828ac13e42883d356309070bff1,v1.64.x,b6f7b693e701243de3401250d7ed2e1d51926a1d,2024-05-09 02:28:28+00:00,TYPE-I
grpc-java,master,c368a0f9f8a02d64790d5dae7fda8b2aed54428d,v1.64.x,18cf46e45678b2773f057d867bd586db2488cd39,2024-05-08 23:23:51+00:00,TYPE-I
grpc-java,master,d21fe32bea9dacb33d2c975847361995b4d170bf,v1.62.x,2249103d0e2b7cdfec213688d1846009a0933815,2024-03-29 20:07:20+00:00,TYPE-I
